categorie,nom_enseigne,id_wikidata,regle_ouverture,horaires,infos,url_source,url_horaires
car_repair,Étape Auto,,ouvert_adapté,,"Réservé aux véhicules d’urgences, personnel hospitalier et fonctions vitales",https://www.etape-auto.fr/site-Etape_Auto-operation-8159-Vehicules-prioritaires.html,
car_repair,Euromaster,Q3060668,ouvert_adapté,,,https://www.euromaster.fr/particulier,https://www.euromaster.fr/particulier/liste-centres-service-minimum
car_repair,Feu Vert,Q3070922,ouvert_adapté,,,https://www.feuvert.fr/static/informations-covid19-16253.html,https://www.feuvert.fr/static/centres-auto-feu-vert-ouverts-pendant-confinement-16239.html
car_repair,Ford,Q44294,ouvert,,,https://www.ford.fr/,
car_repair,France Pare-Brise,,ouvert_adapté,,,https://www.franceparebrise.fr/,https://prive.franceparebrise.fr/covid19/
car_repair,Midas,Q3312613,ouvert,,,https://www.midas.fr/purchase-guides/midas-connect,
car_repair,Norauto,Q3317698,ouvert,,,https://www.norauto.fr/,
car_repair,Peugeot,Q6742,fermé,,"Réparation urgentes possibles, contacter par téléphone",https://www.peugeot.fr/covid-19.html,
car_repair,Point S,Q3393358,ouvert,,,https://www.points.fr/,
car_repair,Renault,Q6686,ouvert_adapté,,,https://www.renault.fr/,
car_repair,Garage Renault,Q6686,ouvert_adapté,,,https://www.renault.fr/,
car_repair,Roady,Q3434112,ouvert,,,https://www.roady.fr/,
car_repair,Speedy,Q3492969,ouvert_adapté,,,https://www.speedy.fr/,
car_repair,Volkswagen,Q246,ouvert,,,https://www.volkswagen.fr/fr/specials/covid-19-informations-clients.html,
car_repair,Vulco,Q80184403,ouvert,,,https://www.facebook.com/vulcofrance/,
chocolate,Jeff de Bruges,Q3176626,partiel,,,https://twitter.com/Jeff_de_Bruges/status/1240648143517224961,https://magasins.jeff-de-bruges.com/
chocolate,Leonidas,Q80335,ouvert_adapté,,,https://www.leonidas.com/fr_fr/,https://www.leonidas.com/fr_fr/boutiques
clothes,Cache Cache,Q63064086,ouvert_adapté,,,https://www.cache-cache.fr/faq-ouverture-magasins-l,https://www.cache-cache.fr/magasins
clothes,Camaïeu,Q2934647,ouvert,,,https://www.camaieu.fr/content/la-marque/nos-actualites/articles,
clothes,Celio,Q2672003,ouvert,,,https://www.facebook.com/celiofrance/posts/3261295267236173,
clothes,Etam,Q3059202,ouvert_adapté,,,https://www.etam.com/,
clothes,Gémo,Q3122954,ouvert,,,https://www.gemo.fr/,
clothes,Grain de Malice,Q66757157,ouvert,,,https://www.graindemalice.fr,
clothes,Jules,Q3188386,ouvert,,,,https://www.jules.com/fr-fr/recherche-magasins/
clothes,Kiabi,Q3196299,ouvert_adapté,,Certains services non disponibles en magasin,https://www.kiabi.com/services/ensemble-en-securite.html,
clothes,Sergent Major,Q62521738,ouvert_adapté,,,https://www.sergent-major.com/,
computer,LDLC,Q3117461,partiel,,,https://www.ldlc.com/aide/219-informations-covid-19/,https://www.ldlc.com/magasins-ldlc/
doityourself,Brico,Q2510786,ouvert,,,https://www.brico.be/fr,
doityourself,Brico Dépôt,Q2889702,ouvert_adapté,,,https://www.bricodepot.fr/catalogue/ouverture-coronavirus/,https://www.bricodepot.fr/catalogue/infos-depots-coronavirus/
doityourself,Brico Pro,,ouvert,,,https://www.bricopro.fr/,
doityourself,Bricoman,Q2925142,ouvert,,,https://www.bricoman.fr/reouverture,
doityourself,Bricomarché,Q2925147,ouvert,,Retrait click & collect uniquement,https://www.bricomarche.com/magasins-ouverts-click-and-collect-sans-contact,https://www.bricomarche.com/magasins-ouverts-click-and-collect-sans-contact
doityourself,Bricorama,Q2925146,ouvert_adapté,,,https://www.bricorama.fr/retrait-covid,https://www.bricorama.fr/retrait-covid
doityourself,Castorama,Q966971,ouvert_adapté,,,https://www.castorama.fr/,https://www.castorama.fr/reouverture-magasins-libre-service
doityourself,Chausson Matériaux,,ouvert_adapté,,,https://www.chausson-materiaux.fr/,
doityourself,Gedimat,,ouvert_adapté,,,https://www.gedimat.fr/,
doityourself,Lapeyre,Q3117467,ouvert,,,https://www.facebook.com/Lapeyre/,
doityourself,Leroy Merlin,Q889624,partiel,,Réouverture progressive du libre-service en magasin,https://www.leroymerlin.fr/services/nos-services-en-magasin-pendant-confinement/,https://www.leroymerlin.fr/magasins/trouver-magasin/#
doityourself,Mr Bricolage,Q3141657,ouvert_adapté,,,https://www.mr-bricolage.fr/recommandations-covid19-c.html,
doityourself,Point P,Q62973104,partiel,,,https://www.pointp.fr/info-covid-19-clients-professionnels,https://www.pointp.fr/info-covid-19-clients-professionnels
doityourself,Queguiner Matériaux,Q3414861,ouvert_adapté,,Récupération de commandes uniquement,https://www.groupe-queguiner.fr/actualites/information-covid-19/,
doityourself,Réseau Pro,,partiel,,Réouvertures progressives à partir du 23 mars,https://www.reseaupro.fr/coronavirus-ouvertures-agences,https://www.reseaupro.fr/coronavirus-ouvertures-agences
doityourself,Weldom,Q16683226,ouvert,,,https://www.weldom.fr/,https://www.weldom.fr/weldom/rechercher-votre-magasin.html/
electronics,Apple,Q421253,fermé,,,https://www.apple.com/fr/,
electronics,Boulanger,Q2921695,fermé,,,https://twitter.com/boulanger/status/1240256275147034624,
electronics,Darty,Q2439098,ouvert,,,https://www.darty.com/achat/services/faq-magasins-et-commandes/index.html,
electronics,Électro Dépôt,Q2388060,ouvert,,,https://www.electrodepot.fr/,https://www.electrodepot.fr/nos-magasins
electronics,Gitem,Q3107853,ouvert,,,https://www.gitem.fr/#slide-2,
electronics_repair,Docteur IT,,ouvert,,,https://www.docteur-it.com/,
employment_agency,Adecco,Q353496,fermé,,Contact à distance possible,https://www.adecco.fr/,
employment_agency,Manpower,Q56315899,fermé,,Contact par courriel ou téléphone possible,https://www.manpower.fr/bulletin-informations-covid-19,
employment_agency,Pôle Emploi,Q8901192,fermé,,Sur rendez-vous à partir du 18 mai,https://www.pole-emploi.fr/accueil/,
employment_agency,Randstad,Q267840,fermé,,,https://www.randstad.fr/,
farm,Bienvenue à la Ferme,Q2902023,ouvert,,,,https://www.drive-fermier.fr/carte_drive_fermier
farm,Drive Fermier,Q2902023,ouvert,,,,https://www.drive-fermier.fr/carte_drive_fermier
fast_food,Burger King,Q177054,partiel,,,https://www.burgerking.fr/,
fast_food,Domino’s,Q839466,ouvert_adapté,,,https://www.dominos.fr/,
fast_food,Domino’s Pizza,Q839466,ouvert_adapté,,,https://www.dominos.fr/,
fast_food,KFC,Q524757,ouvert,,,https://www.kfc.fr/,
fast_food,La Boîte à Pizza,Q3206840,ouvert,,,https://www.laboiteapizza.com/,https://www.laboiteapizza.com/restaurant
fast_food,La Croissanterie,Q3207961,fermé,,,https://www.lacroissanterie.fr/,
fast_food,McDonald’s,Q38076,partiel,,Certains McDrive sont ouverts,https://www.mcdonalds.fr/,https://www.restaurants.mcdonalds.fr/
fast_food,Pizza Hut,Q191615,ouvert_adapté,,En livraison uniquement,https://www.pizzahut.fr/,
fast_food,Quick,Q286494,fermé,,,https://www.quick.fr/landing?redirect=%2F,
fast_food,Subway,Q244457,partiel,,,https://www.subway.com/fr-fr,
flower,Interflora,Q692179,partiel,,,https://www.facebook.com/Interflora.France/posts/3183824991629083,
flower,Monceau Fleurs,Q17629431,fermé,,,https://www.monceaufleurs.com/,
frozen_food,Thiriet,Q3524695,ouvert,,,https://www.facebook.com/thiriet.surgeles/photos/a.167457513322829/2904903916244828/,"https://magasins.thiriet.com/les-points-de-retrait-thiriet/les-points-de-retrait-thiriet,176,1168.html"
fuel,AS24,Q2819394,ouvert,,,https://www.as24.com/fr/communique-covid-19,
fuel,Avia,Q300147,ouvert,,,https://www.avia-france.fr/,
fuel,BP,Q152057,ouvert,,,http://stationsbp.fr/bp_station/site_bp_station/index.php,
fuel,Elan,Q57980752,ouvert,,,,https://www.total-proxi-energies.fr/stations-elan/nous-trouver
fuel,Esso,Q867662,ouvert,,,https://corporate.esso.fr/Notre-groupe/Actualites-et-publications/Esso-SAF/Information,
fuel,Esso Express,Q867662,ouvert,,,https://corporate.esso.fr/Notre-groupe/Actualites-et-publications/Esso-SAF/Information,
fuel,Groupement des Mousquetaires,Q3153200,ouvert_adapté,,,https://www.intermarche.com/enseigne/magazine/mesures-COVID,
fuel,La Station U,Q2529029,ouvert,,,https://twitter.com/ULesCommercants/status/1240174417960931328,
fuel,Shell,Q154950,ouvert,,Certains services en station sont fermés ou limités (restauration),https://www.shell.fr/,
fuel,Total,Q154037,ouvert,,,https://www.total.fr/actus/nos-actualites/Covid-19-Total-se-mobilise-pour-soutenir-personnels-soignants-hospitaliers,
fuel,Total Access,Q154037,ouvert,,,https://www.total.fr/actus/nos-actualites/Covid-19-Total-se-mobilise-pour-soutenir-personnels-soignants-hospitaliers,
funeral_directors,PFG,Q3396087,ouvert,,Appeler avant de se déplacer,,
funeral_directors,Roblot,Q63247414,ouvert,,Nous vous conseillons d’appeler votre agence avant de vous déplacer,https://www.roblot.fr/,
funeral_directors,Roc-Eclerc,Q62558102,ouvert,,,https://www.groupe-roc-eclerc.com/groupe/magazine/actualites/roc-eclerc-se-mobilise-contre-le-virus-covid-19/,
furniture,Centrakor,Q64079345,ouvert,,,https://www.centrakor.com/,
garden_centre,Gamm Vert,Q3095006,ouvert,,,https://www.gammvert.fr/faq/details/commandes-COVID-19,https://magasin.gammvert.fr/
garden_centre,Jardiland,Q3162276,ouvert,,,,
garden_centre,Point Vert,Q16661975,partiel,,,https://www.magasin-point-vert.fr/,https://www.magasin-point-vert.fr/magasins
garden_centre,Truffaut,Q3162640,ouvert,,,https://www.truffaut.com/information-actualite,
hearing_aids,Amplifon,Q477222,ouvert,,,https://www.amplifon.com/fr/information-covid19,
hearing_aids,Audika,Q2870745,ouvert_adapté,,,https://www.audika.fr/landing-page/audika-plus-vous,
hairdresser,Fabio Salsa,,ouvert,,La prise de rendez-vous en ligne est conseillée.,https://www.fabiosalsa.com/onvaprendresoindevous/,https://reservations.fabiosalsa.com/reservation/area
hairdresser,Franck Provost,Q62805922,ouvert,,La prise de rendez-vous en ligne est conseillée.,https://www.franckprovost.com/actu-salon/onvaprendresoindevous/,https://reservations.franckprovost.com/reservation/area
hairdresser,Jean Louis David,Q64445174,ouvert,,La prise de rendez-vous en ligne est conseillée.,https://www.jeanlouisdavid.com/article/-onvaprendresoindevous_a7447/1,https://reservations.jeanlouisdavid.com/reservation/area
hairdresser,Saint Algue,Q62973210,ouvert,,La prise de rendez-vous en ligne est conseillée.,https://www.saint-algue.com/jesuiscoiffeurresponsable/,https://reservations.saint-algue.com/reservation/area
hairdresser,Tchip Coiffure,Q62871250,ouvert,,,https://www.tchip.fr/,
hairdresser,The Barber Company,,ouvert,,La prise de rendez-vous en ligne est conseillée.,https://thebarbercompany.fr/news/onvaprendresoindevous/,https://salons.thebarbercompany.fr/fr/barbier/
hotel,B&B Hôtel,Q794939,ouvert_adapté,,Petit-déjeuner à emporter,https://www.hotel-bb.com/fr/information-coronavirus,https://www.hotel-bb.com/fr/information-coronavirus
hotel,Formule 1,Q1630895,ouvert_adapté,,,https://all.accor.com/event/information.fr.shtml,
hotel,Ibis,Q920166,ouvert_adapté,,,https://all.accor.com/event/information.fr.shtml,
hotel,Hôtel Ibis,Q920166,ouvert_adapté,,,https://all.accor.com/event/information.fr.shtml,
hotel,Ibis Budget,Q1458135,ouvert_adapté,,,https://all.accor.com/event/information.fr.shtml,
hotel,Ibis Styles,Q3147425,ouvert_adapté,,,https://all.accor.com/event/information.fr.shtml,
hotel,Kyriad,Q11751808,ouvert_adapté,,,https://www.kyriad.com/fr-fr/informationcovid19/,
hotel,Novotel,Q420545,ouvert_adapté,,,https://all.accor.com/event/information.fr.shtml,
hotel,Mercure,Q1709809,ouvert_adapté,,,https://all.accor.com/event/information.fr.shtml,
hotel,Première Classe,Q5964551,ouvert_adapté,,Pas de restauration,https://www.premiereclasse.com/fr/mesures-et-informations-covid-19.html,
insurance,AG2R La Mondiale,Q292228,fermé,,Contact en priorité par courriel,https://www.ag2rlamondiale.fr/,
insurance,Allianz,Q487292,fermé,,Contact par téléphone possible,https://www.allianz.fr/informations-couverture-coronavirus/,
insurance,April,Q622025,fermé,,,https://groupe.april.fr/covid-19,
insurance,Assu 2000,,fermé,,,https://twitter.com/ASSU2000/status/1239565271364448256,
insurance,Aviva,Q791179,partiel,,,https://www.aviva.fr/conseils-en-assurance/mes-demarches/covid19.html,
insurance,Axa,Q160054,fermé,,,https://twitter.com/AXAFrance/status/1241017945343627266,
insurance,CNP Assurances,Q1023930,fermé,,Contact par formulaire en ligne,https://www.cnp.fr/,
insurance,Gan,Q3095058,fermé,,,https://www.gan.fr/,
insurance,GMF,Q3095296,fermé,,,https://www.gmf.fr/,
insurance,Groupama,Q3083531,fermé,,,https://www.groupama.fr/,
insurance,Harmonie Mutuelle,Q3127528,fermé,,Contact à distance possible,https://www.harmonie-mutuelle.fr/web/tout-harmonie,
insurance,Maaf,Q3331028,fermé,,,https://www.maaf.fr/fr/mutuelle-sante/covid-19,
insurance,Macif,Q3331021,fermé,,"Ligne téléphonique fermée pour l’instant, démarches par l’espace client en ligne",https://www.macif.fr/,
insurance,Maif,Q3331029,fermé,,,https://www.maif.fr/,
insurance,Matmut,Q3299185,fermé,,,https://twitter.com/Matmut/status/1239243892882649088,
insurance,MMA,Q3331046,fermé,,,https://www.mma.fr/,
insurance,Mutuelle de Poitiers Assurances,,ouvert,,Privilégier la communication par courriel,https://www.assurance-mutuelle-poitiers.fr/covid-19-nous-restons-mobilises,https://agence.assurance-mutuelle-poitiers.fr/
laundry,5àSec,Q2817899,ouvert,,,https://www.5asec.fr/trouvez-votre-pressing,https://www.5asec.fr/trouvez-votre-pressing
laundry,Lav’Club,,ouvert,,,http://lavclub.net/info-coronavirus-laverie-ouverte/,http://lavclub.net/
library,Fnac,Q676585,ouvert,,,https://twitter.com/Fnac/status/1258041394582732800,
mobile_phone,Bouygues Télécom,Q581438,ouvert,,,https://www.bouyguestelecom.fr/choisir-bouygues-telecom/covid-19-bouygues-telecom-se-mobilise#ReouvertureBoutique,
mobile_phone,Coriolis Télécom,Q2997375,partiel,,,http://www.coriolis.com/magasins/,
mobile_phone,Free,Q2467627,partiel,,,https://www.free.fr/boutiques,https://www.free.fr/boutiques
mobile_phone,Orange,Q1431486,partiel,,,https://boutique.orange.fr/informations/covid-19/,
mobile_phone,SFR,Q218765,ouvert,,,,https://boutique.sfr.fr/
optician,Afflelou,Q2829511,ouvert_adapté,,Prendre rendez-vous,https://www.afflelou.com/,
optician,Alain Afflelou,Q2829511,ouvert_adapté,,Prendre rendez-vous,https://www.afflelou.com/,
optician,Atol,Q2869542,ouvert_adapté,,Sur rendez-vous,https://www.opticiens-atol.com/comment-prendre-rdv,
optician,Direct Optic,,ouvert,,,https://jmy9q2my.sibpages.com/,
optician,Écouter Voir,Q18414551,ouvert_adapté,,Sur rendez-vous,https://www.ecoutervoir.fr/trouver-un-magasin/,
optician,Générale d’Optique,Q62391701,partiel,,,https://www.generale-optique.com/,https://www.generale-optique.com/opticien/s?services=Magasin%20ouvert
optician,Grand Optical,Q3113677,partiel,,,https://www.grandoptical.com/,https://www.grandoptical.com/opticien/s?services=Magasin%20ouvert
optician,Krys,Q3200026,fermé,,,https://www.krys.com/,
optician,Les Opticiens Mutualistes,Q18414551,ouvert,,,https://www.ecoutervoir.fr/trouver-un-magasin/,
optician,Lissac,Q63102559,ouvert_adapté,,Sur rendez-vous,https://www.lissac.fr/,https://www.lissac.fr/prendre-rendez-vous
optician,Lynx Optique,Q25387428,ouvert_adapté,,Sur rendez-vous,https://www.lynx-optique.com/,
optician,Optic 2000,Q3354445,ouvert_adapté,,Sur rendez-vous,https://www.optic2000.com/,
optician,Optical Center,Q3354448,ouvert,,,https://www.optical-center.fr/,
optician,Solaris,Q3489229,fermé,,,https://www.solaris.fr/,
optician,Vision Plus,Q23752663,ouvert,,,https://www.vision-plus.fr/retrouvons-nous_vite,
pharmacy,Boticinal,,ouvert,,,https://www.powersante.com/conseils-covid-19,
pharmacy,Giphar,Q3107556,ouvert,,,https://www.pharmaciengiphar.com/maladies/coronavirus/vos-pharmacies-giphar-s-organisent-pour-repondre-vos-besoins,
pet,Animalis,Q2850015,ouvert,,Des modifications d'horaires peuvent avoir lieu donc nous vous invitons donc à consulter les horaires en ligne ou à appeler votre magasin avant de vous déplacer,https://www.animalis.com/ouverture-de-vos-magasins,
pet,Maxi Zoo,Q875796,ouvert_adapté,"Mo-Sa 10:00-13:00, 14:00-17:00",,https://www.maxizoo.fr/,
post_office,La Poste,Q373724,partiel,,,https://le-groupe-laposte.cdn.prismic.io/le-groupe-laposte/84e9fdbd-878f-4c85-91b9-dc6ccdfed8b7_CP+La+Poste+se+pr%C3%A9pare+au+d%C3%A9confinement+vdef.pdf,
restaurant,Big Fernand,Q19521346,partiel,,,https://bigfernand.com/,
restaurant,Buffalo Grill,Q944655,partiel,,,https://www.buffalo-grill.fr/,https://www.buffalo-grill.fr/nos-restaurants
restaurant,Campanile,Q2412064,ouvert,,,https://www.campanile.com/fr-fr/hotel-restaurants/,
restaurant,Courtepaille,Q3116688,fermé,,,https://www.courtepaille.com/,
restaurant,CROUS,Q2946037,partiel,,Restauration à emporter dans certains Resto’U,https://www.etudiant.gouv.fr/pid33626-cid150278/covid-19-|-faq-crous-etudes-concours-services.html,
restaurant,Flunch,Q629326,partiel,Mo-Sa 08:30-18:30,,https://blog.flunch.fr/actus/reouverture-de-nos-restaurants.html,https://blog.flunch.fr/actus/reouverture-de-nos-restaurants.html
restaurant,Hippopotamus,Q3136174,fermé,,,https://www.hippopotamus.fr/fermeture-provisoire,
restaurant,La Boucherie,Q21427479,fermé,,,https://www.la-boucherie.fr/,
restaurant,La Pataterie,Q20899937,fermé,,,https://www.instagram.com/p/B9yqyz6gPKW/,
restaurant,Léon de Bruxelles,Q21041507,fermé,,,https://www.leon-de-bruxelles.fr/,
restaurant,Pret A Manger,Q2109109,partiel,,,https://www.pretamanger.fr/fr-fr/?country=fr,
restaurant,Ristorante Del Arte,Q3389499,ouvert_adapté,,,https://www.delarte.fr/information-restaurants,
restaurant,Sushi Shop,Q3505657,ouvert_adapté,,,https://www.sushishop.fr/,
restaurant,Tablapizza,,fermé,,,https://www.tablapizza.fr/informations-sur-les-fermetures/,
shoes,Besson Chaussures,Q2899930,ouvert,,,https://www.besson-chaussures.com/blog/besson-chaussures-se-prepare-a-la-reouverture-de-ses-magasins,
shoes,Éram,Q16684192,ouvert_adapté,,eram.fr reste ouvert avec la livraison à domicile offerte.,https://www.eram.fr/faq-covid-19-2/,
sports,Decathlon,Q509349,ouvert_adapté,,,https://www.decathlon.fr/landing/reouverture-magasins-decathlon/_/R-a-reouverture-magasins,https://www.decathlon.fr/landing/reouverture-magasins-decathlon/_/R-a-reouverture-magasins
sports,Intersport,Q666888,ouvert,,,https://twitter.com/Intersport_FR/status/1260212475204640769,https://www.intersport.fr/store-finder/
stationery,Bureau Vallée,Q18385014,ouvert,,,https://www.bureau-vallee.fr/,
stationery,Office Dépôt,Q1337797,ouvert_adapté,,,https://www.officedepot.fr/,https://www.officedepot.fr/specialLinksNoChat.do?file=/magasins-ouverts.jsp
stationery,Top Office,Q24929304,partiel,,,https://www.top-office.com/informations-de-livraison.html,
supermarket,Atac,Q3475335,ouvert,,,https://www.facebook.com/LaTribuSchiever/posts/2806211786122536,
supermarket,Aldi,Q125054,ouvert_adapté,,Fermé les 22/03 et 29/03,https://www.aldi.fr/,
supermarket,Auchan,Q758603,ouvert,,,https://twitter.com/AUCHAN_France/status/1239652791045574660,
supermarket,Bi1,Q3475335,ouvert,,,https://www.facebook.com/LaTribuSchiever/posts/2806211786122536,
supermarket,Bio c' Bon,Q54312551,ouvert_adapté,"Mo-Sa 10:00-14:00,15:00-19:00",,https://www.bio-c-bon.eu/fr/covid-19-nos-mesures-en-magasin,https://www.bio-c-bon.eu/fr/nos_magasins
supermarket,Biocoop,Q2904039,ouvert_adapté,,,https://www.biocoop.fr/actualites-bio/Biocoop-Solidaire-Attitude,
supermarket,Biomonde,,ouvert_adapté,,,https://www.facebook.com/biomondecooperative/posts/3180682271951752,"https://www.biomonde.fr/nos-magasins,1,58,1"
supermarket,Carrefour,Q217599,ouvert,,,https://www.carrefour.fr/,
supermarket,Carrefour City,Q2940187,ouvert,,,https://www.carrefour.fr/,
supermarket,Carrefour Contact,Q2940188,ouvert,,,https://www.carrefour.fr/,
supermarket,Carrefour Express,Q2940190,ouvert,,,https://www.carrefour.fr/,
supermarket,Carrefour Market,Q2689639,ouvert,,,https://www.carrefour.fr/,
supermarket,Casino,Q2670967,ouvert,,,https://www.supercasino.fr/landing/notre-priorite-cest-vous/,
supermarket,Chronodrive,Q2966828,ouvert,,,https://www.facebook.com/Chronodrive/,
supermarket,CocciMarket,Q17561658,ouvert,,,https://www.coccinelle.fr/,
supermarket,Coccinelle,Q17561658,ouvert,,,https://www.coccinelle.fr/,
supermarket,Colruyt,Q2363991,ouvert_adapté,Mo-Sa 09:00-19:00,,https://www.colruyt.fr/colruytfr/static/news.shtml?readnews=6,
supermarket,Cora,Q686643,ouvert,,,https://www.cora.fr/,
supermarket,E. Leclerc,Q1273376,ouvert,,,https://www.e-leclerc.com/catalogue/evenements/covid-19-les-centres-eleclerc-sont-mobilises,
supermarket,Franprix,Q2420096,ouvert,,Livraison à domicile gratuite pour personnes âgées ou fragiles,https://twitter.com/franprix/status/1239917728217137157,
